filter,id,slug,title,href,Name,Appearances,Affiliations,Locations,Gender,Dimensions,species,Vehicles,Weapons,Terrain,Climate,Creature,droid
Characters,616b23109dba0492a01ad05b,adi-gallia,Adi Gallia,https://www.starwars.com/databank/adi-gallia,Adi Gallia,"(('films', 'star-wars-episode-ii-attack-of-the-clones', 'Star Wars: Attack of the Clones (Episode II)'), ('films', 'star-wars-episode-i-the-phantom-menace', 'Star Wars: The Phantom Menace (Episode I)'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'))","(('databank', 'jedi-order', 'Jedi Order'),)",(),"(('Gender', 'female', 'Female'),)","(('Dimensions', 'height-1-74m', 'Height: 1.74m'),)","(('species', 'tholothian', 'Tholothian'),)","(('Vehicles', 'jedi-starfighter', 'Jedi Starfighter'),)","(('databank', 'lightsaber', 'Lightsaber'),)",(),(),(),()
Characters,616b22cce243c492a01ad05b,admiral-ackbar,Admiral Ackbar,https://www.starwars.com/databank/admiral-ackbar,Admiral Ackbar,"(('films', 'star-wars-episode-viii-the-last-jedi', 'Star Wars: The Last Jedi (Episode VIII)'), ('films', 'star-wars-episode-vii-the-force-awakens', 'Star Wars: The Force Awakens (Episode VII)'), ('films', 'star-wars-episode-vi-return-of-the-jedi', 'Star Wars: Return of the Jedi (Episode VI)'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'))","(('databank', 'galactic-republic', 'Galactic Republic'), ('databank', 'rebel-alliance', 'Rebel Alliance'), ('databank', 'the-resistance', 'The Resistance'), ('databank', 'the-new-republic', 'The New Republic'))","(('databank', 'mon-cala', 'Mon Cala'),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-8m', 'Height: 1.8m'),)","(('databank', 'mon-calamari', 'Mon Calamari'),)","(('databank', 'mon-calamari-star-cruiser', 'Mon Calamari Star Cruiser'),)","(('databank', 'blaster-pistol', 'Blaster Pistol'),)",(),(),(),()
Characters,616b22da097f8492a01ad05b,admiral-coburn,Admiral Coburn,https://www.starwars.com/databank/admiral-coburn,Admiral Coburn,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('databank', 'galactic-republic', 'Galactic Republic'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-81m', 'Height: 1.81m'),)",(),"(('databank', 'republic-attack-cruiser', 'Republic Attack Cruiser'),)",(),(),(),(),()
Characters,616b2f2bcfc94492a01ad05b,admiral-garrick-versio,Admiral Garrick Versio,https://www.starwars.com/databank/admiral-garrick-versio,Admiral Garrick Versio,"(('games-apps', 'star-wars-battlefront-ii', 'Star Wars Battlefront II'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)","(('databank', 'vardos', 'Vardos'),)","(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b321a5c507492a01ad05b,admiral-griss,Admiral Griss,https://www.starwars.com/databank/admiral-griss,Admiral Griss,"(('films', 'star-wars-episode-ix-the-rise-of-skywalker', 'Star Wars: The Rise of Skywalker (Episode IX)'),)","(('databank', 'the-first-order', 'The First Order'), ('databank', 'first-order-supreme-council', 'First Order Supreme Council'))",(),"(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b329743577492a01ad05b,admiral-karius,Admiral Karius,https://www.starwars.com/databank/admiral-karius,Admiral Karius,"(('interactive', 'virtual-reality', 'Vader Immortal: Episode I'), ('interactive', 'virtual-reality', 'Vader Immortal: Episode II'), ('interactive', 'virtual-reality', 'Vader Immortal: Episode III'))",(),(),(),(),(),(),(),(),(),(),()
Characters,616b29e86ca28492a01ad05b,admiral-kassius-konstantine,Admiral Kassius Konstantine,https://www.starwars.com/databank/admiral-kassius-konstantine,Admiral Kassius Konstantine,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)",(),"(('Gender', 'male', 'Male'),)",(),(),(),(),(),(),(),()
Characters,616b22dba29ea492a01ad05b,admiral-kilian,Admiral Kilian,https://www.starwars.com/databank/admiral-kilian,Admiral Kilian,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('databank', 'galactic-republic', 'Galactic Republic'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-72m', 'Height: 1.72m'),)",(),"(('databank', 'republic-attack-cruiser', 'Republic Attack Cruiser'),)","(('databank', 'blaster-pistol', 'Blaster Pistol'),)",(),(),(),()
Characters,616b22dd460f0492a01ad05b,admiral-motti,Admiral Motti,https://www.starwars.com/databank/admiral-motti,Admiral Motti,"(('films', 'star-wars-episode-iv-a-new-hope', 'Star Wars: A New Hope (Episode IV)'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)","(('databank', 'death-star', 'Death Star'),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-7m', 'Height: 1.7m'),)","(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b22e0e9a75492a01ad05b,admiral-ozzel,Admiral Ozzel,https://www.starwars.com/databank/admiral-ozzel,Admiral Ozzel,"(('films', 'star-wars-episode-v-the-empire-strikes-back', 'Star Wars: The Empire Strikes Back (Episode V)'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-75m', 'Height: 1.75m'),)",(),"(('databank', 'executor', 'Executor'),)",(),(),(),(),()
Characters,616b22f42e9cb492a01ad05b,admiral-piett,Admiral Piett,https://www.starwars.com/databank/admiral-piett,Admiral Piett,"(('films', 'star-wars-episode-v-the-empire-strikes-back', 'Star Wars: The Empire Strikes Back (Episode V)'), ('films', 'star-wars-episode-vi-return-of-the-jedi', 'Star Wars: Return of the Jedi (Episode VI)'))","(('databank', 'galactic-empire', 'Galactic Empire'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-65m', 'Height: 1.65m'),)",(),"(('databank', 'executor', 'Executor'),)",(),(),(),(),()
Characters,616b2eb65ad56492a01ad05b,admiral-raddus,Admiral Raddus,https://www.starwars.com/databank/admiral-raddus,Admiral Raddus,"(('films', 'rogue-one', 'Rogue One: A Star Wars Story'),)","(('databank', 'rebel-alliance', 'Rebel Alliance'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-9m', 'Height: 1.9m'),)","(('databank', 'mon-calamari', 'Mon Calamari'),)","(('databank', 'the-profundity', 'The Profundity'),)",(),(),(),(),()
Characters,616b2dead6b58492a01ad05b,admiral-statura,Admiral Statura,https://www.starwars.com/databank/admiral-statura,Admiral Statura,"(('films', 'star-wars-episode-vii-the-force-awakens', 'Star Wars: The Force Awakens (Episode VII)'),)","(('databank', 'the-resistance', 'The Resistance'),)","(('databank', 'd-qar', ""D'Qar""),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-72m', 'Height: 1.72m'),)","(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b22f052926492a01ad05b,admiral-trench,Admiral Trench,https://www.starwars.com/databank/admiral-trench,Admiral Trench,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('databank', 'confederacy-of-independent-systems', 'Confederacy of Independent Systems'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-89m', 'Height: 1.89m'),)","(('species', 'harch', 'Harch'),)","(('databank', 'separatist-dreadnought', 'Separatist Dreadnought'),)",(),(),(),(),()
Characters,616b34d1dc6eb492a01ad05b,ady-sun-zee,Ady Sun'Zee,https://www.starwars.com/databank/ady-sun-zee,Ady Sun'Zee,"(('games-apps', 'star-wars-tales-from-the-galaxy-s-edge', 'Star Wars: Tales from the Galaxy’s Edge'),)",(),"(('databank', 'batuu', 'Batuu'), ('databank', 'black-spire-outpost', 'Black Spire Outpost'))",(),(),(),(),(),(),(),(),()
Characters,616b304cde9e5492a01ad05b,aemon-gremm,Aemon Gremm,https://www.starwars.com/databank/aemon-gremm,Aemon Gremm,"(('films', 'solo', 'Solo: A Star Wars Story'),)","(('databank', 'crimson-dawn', 'Crimson Dawn'),)",(),"(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-93m', 'Height: 1.93m'),)","(('species', 'hylobon', 'Hylobon'),)",(),(),(),(),(),()
Characters,616b31eec5b42492a01ad05b,aeosian-queen,Aeosian Queen,https://www.starwars.com/databank/aeosian-queen,Aeosian Queen,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)",(),"(('databank', 'aeos-prime', 'Aeos Prime'),)",(),(),(),(),(),(),(),(),()
Characters,616b31ce1a6b1492a01ad05b,aftab-ackbar,Aftab Ackbar,https://www.starwars.com/databank/aftab-ackbar,Aftab Ackbar,"(('films', 'star-wars-episode-ix-the-rise-of-skywalker', 'Star Wars: The Rise of Skywalker (Episode IX)'),)",(),(),"(('Gender', 'male', 'Male'),)",(),"(('databank', 'mon-calamari', 'Mon Calamari'),)",(),(),(),(),(),()
Characters,616b2a5fb94b6492a01ad05b,agen-kolar,Agen Kolar,https://www.starwars.com/databank/agen-kolar,Agen Kolar,"(('films', 'star-wars-episode-ii-attack-of-the-clones', 'Star Wars: Attack of the Clones (Episode II)'), ('films', 'star-wars-episode-iii-revenge-of-the-sith', 'Star Wars: Revenge of the Sith (Episode III)'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'))","(('databank', 'jedi-order', 'Jedi Order'),)","(('databank', 'coruscant', 'Coruscant'),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-7m', 'Height: 1.7m'),)","(('species', 'zabrak', 'Zabrak'),)",(),"(('databank', 'lightsaber', 'Lightsaber'),)",(),(),(),()
Characters,616b2f2a5de09492a01ad05b,agent-del-meeko,Agent Del Meeko,https://www.starwars.com/databank/agent-del-meeko,Agent Del Meeko,"(('games-apps', 'star-wars-battlefront-ii', 'Star Wars Battlefront II'),)","(('databank', 'galactic-empire', 'Galactic Empire'), ('databank', 'inferno-squad', 'Inferno Squad'))","(('databank', 'coruscant', 'Coruscant'),)","(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)","(('databank', 'corvus-ship', 'Corvus (ship)'),)",(),(),(),(),()
Characters,616b2f28e2af6492a01ad05b,agent-gideon-hask,Agent Gideon Hask,https://www.starwars.com/databank/agent-gideon-hask,Agent Gideon Hask,"(('games-apps', 'star-wars-battlefront-ii', 'Star Wars Battlefront II'),)","(('databank', 'galactic-empire', 'Galactic Empire'), ('databank', 'inferno-squad', 'Inferno Squad'))","(('databank', 'vardos', 'Vardos'), ('Locations', 'kuat', 'Kuat'))","(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)","(('databank', 'corvus-ship', 'Corvus (ship)'),)",(),(),(),(),()
Characters,616b314159307492a01ad05b,agent-tierny,Agent Tierny,https://www.starwars.com/databank/agent-tierny,Agent Tierny,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)","(('databank', 'the-first-order', 'The First Order'),)",(),"(('Gender', 'female', 'Female'),)",(),(),(),(),(),(),(),()
Characters,616b22a5101d9492a01ad05b,ahsoka-tano,Ahsoka Tano,https://www.starwars.com/databank/ahsoka-tano,Ahsoka Tano,"(('series', 'the-book-of-boba-fett', 'The Book of Boba Fett'), ('series', 'the-mandalorian', 'The Mandalorian'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'), ('series', 'star-wars-rebels', 'Star Wars Rebels'), ('series', 'tales-of-the-jedi', 'Tales of the Jedi'), ('series', 'star-wars-ahsoka', 'Ahsoka'))","(('databank', 'jedi-order', 'Jedi Order'), ('databank', 'rebel-alliance', 'Rebel Alliance'))","(('databank', 'coruscant', 'Coruscant'),)","(('Gender', 'female', 'Female'),)","(('Dimensions', 'height-1-79m', 'Height: 1.79m'),)","(('databank', 'togruta', 'Togruta'),)","(('databank', 'jedi-t-6-shuttle', 'Jedi T-6 Shuttle'), ('Vehicles', 'jedi-starfighter', 'Jedi Starfighter'))","(('databank', 'lightsaber', 'Lightsaber'), ('databank', 'ahsokas-lightsabers', ""Ahsoka's lightsabers""))",(),(),(),()
Characters,616b37f0b4fd8492a01ad05b,ailish,Ailish,https://www.starwars.com/databank/ailish,Ailish,"(('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'),)",(),(),(),(),"(('species', 'tarlafar', 'Tarlafar'),)",(),(),(),(),(),()
Characters,616b31c971bc4492a01ad05b,albrekh,Albrekh,https://www.starwars.com/databank/albrekh,Albrekh,"(('films', 'star-wars-episode-ix-the-rise-of-skywalker', 'Star Wars: The Rise of Skywalker (Episode IX)'),)",(),(),"(('Gender', 'male', 'Male'),)",(),(),(),(),(),(),(),()
Characters,616b2fa65bf71492a01ad05b,alcida-auka,Alcida-Auka,https://www.starwars.com/databank/alcida-auka,Alcida-Auka,"(('films', 'star-wars-episode-viii-the-last-jedi', 'Star Wars: The Last Jedi (Episode VIII)'),)","(('databank', 'caretakers', 'Caretakers'),)","(('databank', 'ahch-to', 'Ahch-To'),)","(('Gender', 'female', 'Female'),)",(),"(('species', 'lanai', 'Lanai'),)",(),(),(),(),(),()
Characters,616b33ed06149492a01ad05b,alderaanian-royal-guards,Alderaanian Royal guards ,https://www.starwars.com/databank/alderaanian-royal-guards,,,,,,,,,,,,,
Characters,616b295df68e1492a01ad05b,alexsandr-kallus,Alexsandr Kallus,https://www.starwars.com/databank/alexsandr-kallus,Alexsandr Kallus,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)","(('databank', 'imperial-security-bureau', 'Imperial Security Bureau'),)","(('databank', 'coruscant', 'Coruscant'),)","(('Gender', 'male', 'Male'),)",(),(),(),"(('databank', 'lasan-honor-guard-ab-75-bo-rifle', 'Lasan Honor Guard AB-75 Bo-Rifle'),)",(),(),"(('databank', 'bonzami', 'Bonzami'),)",()
Characters,616b2c4fbe46a492a01ad05b,alora,Alora,https://www.starwars.com/databank/alora,Alora,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)",(),(),"(('Gender', 'female', 'Female'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b2f03387d2492a01ad05b,alrich-wren,Alrich Wren,https://www.starwars.com/databank/alrich-wren,Alrich Wren,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)","(('databank', 'clan-wren', 'Clan Wren'),)","(('databank', 'mandalore', 'Mandalore'),)","(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b2c1cc41d2492a01ad05b,alton-kastle,Alton Kastle,https://www.starwars.com/databank/alton-kastle,Alton Kastle,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)","(('databank', 'lothal', 'Lothal'),)","(('Gender', 'male', 'Male'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b358b2a598492a01ad05b,amadeo-azzazzo,Amadeo Azzazzo,https://www.starwars.com/databank/amadeo-azzazzo,Amadeo Azzazzo,"((None, None, 'Star Wars: The High Republic'),)","(('databank', 'jedi-order', 'Jedi Order'),)",(),(),"(('Dimensions', 'height-1-73m', 'Height: 1.73m'),)","(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b29859541a492a01ad05b,amda-wabo,Amda Wabo,https://www.starwars.com/databank/amda-wabo,Amda Wabo,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)",(),"(('databank', 'garel', 'Garel'),)","(('Gender', 'male', 'Male'),)",(),(),(),(),(),(),(),()
Characters,616b2f36ad8a1492a01ad05b,amilyn-holdo,Amilyn Holdo,https://www.starwars.com/databank/amilyn-holdo,Amilyn Holdo,"(('films', 'star-wars-episode-viii-the-last-jedi', 'Star Wars: The Last Jedi (Episode VIII)'),)","(('databank', 'the-resistance', 'The Resistance'),)",(),"(('Gender', 'female', 'Female'),)",(),"(('species', 'human', 'Human'),)","(('databank', 'the-raddus', 'The Raddus'), ('databank', 'the-ninka', 'The Ninka'))",(),(),(),(),()
Characters,616b22e8b997a492a01ad05b,amis,Amis,https://www.starwars.com/databank/amis,Amis,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('Affiliations', 'mandalore-royal-academy-of-government', 'Mandalore Royal Academy of Government'), ('Affiliations', 'new-mandalorians', 'New Mandalorians'))","(('databank', 'mandalore', 'Mandalore'),)","(('Gender', 'male', 'Male'),)",(),(),"(('databank', 'speeder-bike', 'Speeder Bike'),)","(('databank', 'blaster-pistol', 'Blaster Pistol'),)",(),(),(),()
Characters,616b22adf8ab1492a01ad05b,anakin-skywalker,Anakin Skywalker,https://www.starwars.com/databank/anakin-skywalker,Anakin Skywalker,"(('films', 'star-wars-episode-iii-revenge-of-the-sith', 'Star Wars: Revenge of the Sith (Episode III)'), ('films', 'star-wars-episode-ii-attack-of-the-clones', 'Star Wars: Attack of the Clones (Episode II)'), ('films', 'star-wars-episode-i-the-phantom-menace', 'Star Wars: The Phantom Menace (Episode I)'), ('films', 'star-wars-episode-vi-return-of-the-jedi', 'Star Wars: Return of the Jedi (Episode VI)'), ('series', 'obi-wan-kenobi', 'Obi-Wan Kenobi'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'), ('series', 'star-wars-rebels', 'Star Wars Rebels'), ('series', 'tales-of-the-jedi', 'Tales of the Jedi'), ('series', 'star-wars-ahsoka', 'Ahsoka'), ('games-apps', 'galactic-spy', 'Galactic Spy'), ('games-apps', 'disney-infinity-3-0-character-quest', 'Disney Infinity 3.0 - Character Quest'))","(('databank', 'jedi-order', 'Jedi Order'),)","(('databank', 'tatooine', 'Tatooine'),)",(),"(('Dimensions', 'height-1-88m', 'Height: 1.88m'),)",(),"(('databank', 'delta-7-jedi-starfighter', 'Delta-7 Jedi Starfighter'),)","(('databank', 'lightsaber', 'Lightsaber'), ('databank', 'anakin-luke-and-reys-lightsaber', 'Skywalker lightsaber'))",(),(),(),()
Characters,616b2d7a63a63492a01ad05b,ap-5,AP-5,https://www.starwars.com/databank/ap-5,AP-5,"(('series', 'star-wars-rebels', 'Star Wars Rebels'),)","(('databank', 'galactic-empire', 'Galactic Empire'),)",(),(),(),(),(),(),(),(),(),"(('droid', 'inventory-droid', 'Inventory Droid'),)"
Characters,616b2a54abc79492a01ad05b,appo,Appo,https://www.starwars.com/databank/appo,Appo,"(('films', 'star-wars-episode-iii-revenge-of-the-sith', 'Star Wars: Revenge of the Sith (Episode III)'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'))","(('databank', 'clone-troopers', 'Clone Troopers'), ('databank', 'galactic-republic', 'Galactic Republic'))","(('databank', 'kamino', 'Kamino'),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-83m', 'Height: 1.83m'),)",(),(),"(('databank', 'blaster-pistol', 'Blaster Pistol'),)",(),(),(),()
Characters,616b3227fe8bf492a01ad05b,ap-lek,Ap’Lek,https://www.starwars.com/databank/ap-lek,Ap’Lek,"(('films', 'star-wars-episode-vii-the-force-awakens', 'Star Wars: The Force Awakens (Episode VII)'), ('films', 'star-wars-episode-ix-the-rise-of-skywalker', 'Star Wars: The Rise of Skywalker (Episode IX)'))","(('databank', 'knights-of-ren', 'Knights of Ren'),)",(),"(('Gender', 'male', 'Male'),)",(),(),"(('databank', 'night-buzzard', 'Night Buzzard'),)","(('databank', 'ap-lek-s-vibro-ax', 'Ap’lek’s vibro-ax'),)",(),(),(),()
Characters,616b2fa9d9350492a01ad05b,arashell-sar,Arashell Sar,https://www.starwars.com/databank/arashell-sar,Arashell Sar,"(('films', 'star-wars-episode-viii-the-last-jedi', 'Star Wars: The Last Jedi (Episode VIII)'),)",(),"(('databank', 'canto-casino', 'Canto Casino'),)","(('Gender', 'female', 'Female'),)",(),"(('species', 'human', 'Human'),)",(),(),(),(),(),()
Characters,616b230b2c0ac492a01ad05b,arc-trooper-fives,ARC Trooper Fives,https://www.starwars.com/databank/arc-trooper-fives,ARC Trooper Fives,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('databank', 'galactic-republic', 'Galactic Republic'),)","(('databank', 'kamino', 'Kamino'),)","(('Gender', 'male', 'Male'),)","(('Dimensions', 'height-1-83m', 'Height: 1.83m'),)",(),(),"(('databank', 'blaster-pistol', 'Blaster Pistol'), ('databank', 'blaster-rifle', 'Blaster Rifle'))",(),(),(),()
Characters,616b329f1033f492a01ad05b,ardo-barodai,Ardo Barodai,https://www.starwars.com/databank/ardo-barodai,Ardo Barodai,"(('games-apps', 'star-wars-squadrons', 'Star Wars: Squadrons'),)",(),(),(),(),"(('databank', 'mon-calamari', 'Mon Calamari'),)",(),(),(),(),(),()
Characters,616b307de6f54492a01ad05b,argus-six-eyes-panox,Argus “Six Eyes” Panox,https://www.starwars.com/databank/argus-six-eyes-panox,Argus “Six Eyes” Panox,"(('films', 'solo', 'Solo: A Star Wars Story'),)",(),"(('databank', 'the-lodge', 'The Lodge'),)","(('Gender', 'male', 'Male'),)",(),(),(),(),(),(),(),()
Characters,616b3449daea0492a01ad05b,arvel-skeen,Arvel Skeen,https://www.starwars.com/databank/arvel-skeen,Arvel Skeen,"(('series', 'andor', 'Andor'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b2329e24f9492a01ad05b,asajj-ventress,Asajj Ventress,https://www.starwars.com/databank/asajj-ventress,Asajj Ventress,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'), ('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'))","(('databank', 'nightsisters', 'Nightsisters'), ('databank', 'sith', 'Sith'))","(('databank', 'dathomir', 'Dathomir'),)","(('Gender', 'female', 'Female'),)","(('Dimensions', 'height-1-79m', 'Height: 1.79m'),)","(('databank', 'dathomirian', 'Dathomirian'),)",(),"(('databank', 'asajj-ventress-lightsabers', ""Asajj Ventress's lightsabers""),)",(),(),(),()
Characters,616b2c6fd77d7492a01ad05b,ask-aak,Ask Aak,https://www.starwars.com/databank/ask-aak,Ask Aak,"(('films', 'star-wars-episode-ii-attack-of-the-clones', 'Star Wars: Attack of the Clones (Episode II)'),)","(('databank', 'galactic-senate', 'Galactic Senate'),)","(('databank', 'coruscant', 'Coruscant'), ('databank', 'malastare', 'Malastare'))","(('Gender', 'male', 'Male'),)",(),"(('databank', 'gran', 'Gran'),)",(),(),(),(),(),()
Characters,616b23163d780492a01ad05b,atai-molec,Atai Molec,https://www.starwars.com/databank/atai-molec,Atai Molec,"(('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'),)","(('databank', 'confederacy-of-independent-systems', 'Confederacy of Independent Systems'),)","(('databank', 'zygerria', 'Zygerria'),)",(),(),"(('databank', 'zygerrian', 'Zygerrian'),)","(('databank', 'zygerrian-slave-ship', 'Zygerrian Slave Ship'),)",(),(),(),(),()
Characters,616b2dd459b9d492a01ad05b,athgar-heece,Athgar Heece,https://www.starwars.com/databank/athgar-heece,Athgar Heece,"(('films', 'star-wars-episode-vii-the-force-awakens', 'Star Wars: The Force Awakens (Episode VII)'),)",(),"(('databank', 'jakku', 'Jakku'), ('databank', 'niima-outpost', 'Niima Outpost'))",(),(),(),(),(),(),(),(),()
Characters,616b30a8f759d492a01ad05b,aunt-z,Aunt Z,https://www.starwars.com/databank/aunt-z,Aunt Z,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)",(),"(('databank', 'colossus', 'Colossus'), ('databank', 'aunt-z-tavern', ""Aunt Z's Tavern""))","(('Gender', 'female', 'Female'),)",(),(),(),(),(),(),(),()
Characters,616b304e5f8b8492a01ad05b,aurodia-ventafoli,Aurodia Ventafoli,https://www.starwars.com/databank/aurodia-ventafoli,Aurodia Ventafoli,"(('films', 'solo', 'Solo: A Star Wars Story'),)",(),(),"(('Gender', 'female', 'Female'),)","(('Dimensions', 'height-1-81m', 'Height: 1.81m'),)","(('species', 'human', 'Human'),)",(),(),(),(),(),()
